GEOID,label
421010305011,1
421010192004,1
421010353021,1
421010273003,1
421010362011,1
421010238004,1
421010242002,1
421010307001,1
421010373003,1
421010179004,1
421010300004,1
421010334004,1
421010333003,1
421010337011,1
421010309003,1
421010239002,1
421010299004,1
421010238002,1
421010257001,1
421010313004,1
421010032006,1
421010142002,1
421010357012,1
421010346001,1
421010347012,1
421010268002,1
421010301001,1
421010033001,1
421010036003,1
421010301002,1
421010294002,1
421019800001,1
421010321001,1
421010240004,1
421010300002,1
421010208001,1
421010325003,1
421010188007,1
421010270002,1
421010121001,1
421010140001,1
421010188003,1
421010244003,1
421010365011,1
421010166001,1
421010348021,1
421010347021,1
421010054001,1
421010177011,1
421010356022,1
421010338002,1
421010122012,1
421010085002,1
421010323003,1
421010302001,1
421010282001,1
421010201013,1
421010092001,1
421010389003,1
421010178003,1
421010179002,1
421010152002,1
421010243002,1
421010293002,1
421010069001,1
421010245002,1
421010348022,1
421010086022,1
421010037013,1
421010292001,1
421010122031,1
421010345022,1
421010114001,1
421010243003,1
421010312003,1
421010268001,1
421010300007,1
421010325004,1
421010298005,1
421010285001,1
421010055003,1
421010298002,1
421010242004,1
421010203002,1
421010261003,1
421010151021,1
421010039014,1
421010286001,1
421010355003,1
421010283006,1
421010107002,1
421010173002,1
421010107004,1
421010067005,1
421010161002,1
421010063004,1
421010086021,1
421010201011,1
421010086011,1
421010064001,1
421010100001,1
421010252007,1
421010389001,1
421010206001,1
421010102003,1
421010283007,1
421010098021,1
421010063003,1
421010218003,1
421010280002,1
421010240003,1
421010083022,1
421010103001,1
421010259001,1
421010390001,1
421010237003,1
421010074004,1
421010239001,1
421010167013,1
421010151023,1
421010169024,1
421010300006,1
421010147002,1
421010377002,1
421010041022,1
421010063001,1
421010330004,1
421010289011,1
421010056001,1
421010361001,0
421010205001,1
421010325002,1
421010177022,1
421010201021,1
421010098011,1
421010085006,1
421010243001,1
421010153003,1
421010195012,1
421010240001,0
421010081024,1
421010192001,1
421010077001,1
421010276001,1
421010294003,1
421010279021,1
421010177013,1
421010311012,1
421010133002,1
421010274024,1
421010349002,1
421010190005,1
421010312002,1
421010067004,1
421010336003,0
421010151012,1
421010113002,1
421010031006,1
421010277001,1
421010066004,1
421010188002,0
421010278002,1
421010200002,1
421010094004,1
421010063002,1
421010037014,1
421010094002,1
421010178001,0
421010178004,0
421010355002,0
421010283005,0
421010086012,0
421010203001,0
421010177012,0
421010087013,0
421010165003,0
421010065006,1
421010357011,0
421010139002,0
421010199003,0
421010205002,0
421010009011,0
421010291002,0
421010254002,0
421010241001,0
421010110004,0
421010033006,0
